NO_PRESTADOR;FANTASIA;NUMERO;LOGRADOURO;BAIRRO;MUNICIPIO;UF;REGIAO_SAUDE;ESPECIALIDADES;TELEFONE1;TELEFONE2
AFETIVAMENTE CLINICA INFANTOJUVENIL LTDA;AFETIVAMENTE CLINICA INFANTOJUVENIL;195;RUA GUILHERME JOÃO FABRIN;NOSSA SENHORA DE LOURDES;SANTA MARIA;RS;CRS 04 Santa Maria;FONOAUDIOLOGIA  / NUTRICAO / PSIQUIATRIA  / TERAPIA OCUPACIONAL / PSICOLOGIA;;
AFETO ESPACO TERAPEUTICO LTDA;AFETO ESPACO TERAPEUTICO;71;RUA BARÃO JOSÉ MIGUEL;FAROL;MACEIO;AL;Região 01;FISIOTERAPIA / FONOAUDIOLOGIA  / TERAPIA OCUPACIONAL / PSICOLOGIA;;
AFETO KIDS CLINICA ESPECIALIZADA LTDA;AFETO KIDS CLINICA ESPECIALIZADA;462;RUA FRANCISCO SEGUNDO DA COSTA;COMBATE;QUIXADA;CE;Quixadá;FONOAUDIOLOGIA  / TERAPIA OCUPACIONAL / NUTRICAO / PSICOLOGIA;;
AFETTO CENTRO DE ATENDIMENTO E SERVICOS EM PSICOLOGIA LTDA;AFETTO CENTRO DE ATENDIMENTO E SERVICOS EM PSICOLO;123;RUA TANGARÁ;VILA RICA;CAMPO GRANDE;MS;NCT de Campo Grande;PSICOLOGIA;;
AGE FISIOTERAPIA E ESTETICA LTDA;AGE FISIOTERAPIA E ESTETICA LTDA;2380;RUA PINHEIRO MACHADO;CENTRO;SANTA MARIA;RS;CRS 04 Santa Maria;FISIOTERAPIA / TERAPIA OCUPACIONAL;32171853;
AGUILAR ELETRO NEUROLOGIA LTDA;CLINICA NEUROSOLUTION;145;EUCLIDES MIRAGAIA;CENTRO;SAO JOSE DOS CAMPOS;SP;Taubaté;NEUROLOGIA  / NEUROCIRURGIA;39229822;
AILANA VIEIRA MACHADO DE SANTANNA;;50;LARGO SÃO CRISTOVÃO;SÃO CRISTÓVÃO;PALMEIRA DOS INDIOS;AL;Região 04;PSICOLOGIA;;
AIRES RAMON DOS REIS PSICOLOGO CLINICO;AIRES RAMON DOS REIS PSICOLOGO CLINICO;415;AVENIDA VICENTE ZINNI;VILA NOVA;PORTO FERREIRA;SP;Araraquara;PSICOLOGIA;;
ALBERTINA RAMOS NUTRICIONISTA LTDA;ALBERTINA RAMOS NUTRICIONISTA;345;RUA OCTAVIANO TEIXEIRA DOS SANTOS;CENTRO;FRANCISCO BELTRAO;PR;Francisco Beltrão;NUTRICAO;;
ALBINO MACHADO LTDA;SEMEAR INSTITUTO MULTIPROFISSIONAL;1708;AVENIDA SÍLVIO AMÉRICO SASDELLI;ITAIPU A;FOZ DO IGUACU;PR;Foz do Iguaçu;FONOAUDIOLOGIA  / PSICOLOGIA  / TERAPIA OCUPACIONAL;;
ALDO MEDEIROS DOS SANTOS;ALDO MEDEIROS DOS SANTOS;205;RUA DOUTOR PEDRO FIRMINO;CENTRO;PATOS;PB;VI Núcleo Regional de Saúde;MEDICINA FISICA E REABILITACAO  / FISIOTERAPIA / REUMATOLOGIA;34213406;
ALEXANDRE MERCADANTE REABILITACOES LTDA;ALEXANDRE MERCADANTE REABILITACOES LTDA;55;RUA PRUDENTE DE MORAES;CENTRO;JACAREI;SP;Taubaté;FISIOTERAPIA;39612301;
ALICE MONTEIRO SERVICOS MEDICOS LTDA;ALICE MONTEIRO SERVICOS MEDICOS LTDA;1207;RUA JOSÉ DE ALENCAR;NOSSA SENHORA DA ABADIA;UBERABA;MG;Uberaba;DERMATOLOGIA;33330977;
ALJ SERVICOS EM SAUDE LTDA;ACESSO SAUDE;955;GABRIEL DE LARA;LEBLON;PARANAGUA;PR;Paranaguá;CLÍNICA MÉDICA / CARDIOLOGIA  / NUTRICAO;30381310;
ALMEIDA BORGES SOUSA LTDA;LIVER INSTITUTO DO FIGADO DE GOIAS;1148;AVENIDA PORTUGAL;SETOR MARISTA;GOIANIA;GO;Central;GERIATRIA   / GASTROENTEROLOGIA;31578548;
ALPI MARQUES CLINICA MEDICA E MULTIDISCIPLINAR;ALPI MARQUES CLINICA MEDICA E MULTIDISCIPLINAR FIL;99;ESTRADA DO PORTELA, 99;MADUREIRA;RIO DE JANEIRO;RJ;Metropolitana I;FONOAUDIOLOGIA  / TERAPIA OCUPACIONAL / PSICOLOGIA  / PSIQUIATRIA;32177889;
ALPI MARQUES CLINICA MEDICA E MULTIDISCIPLINAR LTDA;ALPI  MARQUES CLiNICA MeDICA E MULTIDISCIPLINAR;2445;AVENIDA MERITI;VILA DA PENHA;RIO DE JANEIRO;RJ;Metropolitana I;TERAPIA OCUPACIONAL / FONOAUDIOLOGIA  / PSICOLOGIA  / PSIQUIATRIA;;
ALVEOLAR GRUPO DE FISIOTERAPIA LTDA;ALVEOLAR GRUPO DE FISIOTERAPIA LTDA;480;RUA DA PAISAGEM;VILA DA SERRA;NOVA LIMA;MG;Belo Horizonte;FISIOTERAPIA;32288107;
ALVES E BORDINHON LTDA;LABCLIN;107;RUA MAJOR VIEIRA;CENTRO;CATAGUASES;MG;Leopoldina;PATOLOGIA CLINICA / MEDICINA LABORATORIAL;34219210;
AMANDA A ALVES;PNEUMO VIDA;1536;MÁRIO MENDES DE ALBUQUERQUE;JARDIM ESMERALDA;RONDONOPOLIS;MT;Rondonópolis;PNEUMOLOGIA;;
AMANDA BISSACOTTI BONILLA LTDA;AMANDA BISSACOTTI BONILLA;816;JOAO CANDIDO CAMARA;JARDIM AMERICA;DOURADOS;MS;NCT de Dourados;PSICOLOGIA;;
AMANDA PEREIRA RODRIGUES COSTA;AMANDA PEREIRA RODRIGUES COSTA;5723;AVENIDA AFONSO PENA;CHÁCARA CACHOEIRA;CAMPO GRANDE;MS;NCT de Campo Grande;DERMATOLOGIA;30454800;
AMAR SAUDE INTEGRATIVA LTDA;AMAR SAUDE INTEGRATIVA LTDA;2048;RUA BENTO GONÇALVES;CENTRO;CAXIAS DO SUL;RS;CRS 05 Caxias do Sul;HOMEOPATIA  / FISIOTERAPIA;;
AMCAD ASSISTENCIA MEDICA A CRIANCA E AO ADOLESCENTE S/S;AMCAD;395;AVENIDA PRINCESA ISABEL;SÃO CAETANO;ITABUNA;BA;Itabuna;PEDIATRIA;36178096;
AME - ESPACO DE ATENDIMENTO MULTIPROFISSIONAL ESPECIALIZADO - LTDA;INTEGRAR CLINICA INTERDISCIPLINAR;593;RUA IBIRAPUERA;RENATO GONÇALVES;BARREIRAS;BA;Barreiras;PSICOLOGIA  / TERAPIA OCUPACIONAL / ASSISTENCIA A PESSOAS PORTADORAS DE DEFICIENCIAS  / FONOAUDIOLOGIA;36118445;
AME ASSISTENCIA MULTIDISCIPLINAR EM ENDOMETRIOSE LTDA;AME ASSISTENCIA MULTIDISCIPLINAR EM ENDOMETRIOSE L;850;AVENIDA JOÃO CABRAL DE MELLO NETO;BARRA DA TIJUCA;RIO DE JANEIRO;RJ;Metropolitana I;COLOPROCTOLOGIA / UROLOGIA  / GINECOLOGIA E OBSTETRICIA;31519694;
AME CONSULTA MEDICA ESPECIALIZADA LTDA;AME CONSULTA;2150;RUA HEITOR LIBERATO;SÃO JOÃO;ITAJAI;SC;Itajaí;ORTOPEDIA E TRAUMATOLOGIA  / PSICOLOGIA  / PSIQUIATRIA  / GASTROENTEROLOGIA  / GINECOLOGIA E OBSTETRICIA  / MASTOLOGIA  / OTORRINOLARINGOLOGIA  / HEMATOLOGIA E HEMOTERAPIA / PEDIATRIA  / CARDIOLOGIA  / OFTALMOLOGIA  / RADIOLOGIA E DIAGNÓSTICO POR IMAGEM / ALERGIA E IMUNOLOGIA;33114778;
AMERICO FALCAO SERVICOS MEDICOS LTDA;CLINICA CRESCER;556;R ALVARO AUGUSTO;GINASIO;SERRINHA;BA;Serrinha;PEDIATRIA  / OTORRINOLARINGOLOGIA  / NUTRICAO / PSICOLOGIA  / FONOAUDIOLOGIA  / PSIQUIATRIA;;
AMGARTEN E GOMES CLINICA DE ESPECIALIDADES LTDA;AMGARTEN E GOMES CLINICA DE ESPECIALIDADES LTDA;0;ACSU SO 40 AVENIDA LO 11;PLANO DIRETOR SUL;PALMAS;TO;Região de Saúde do Capim Dourado;GERIATRIA   / ENDOCRINOLOGIA E METABOLOGIA;33222442;
AMMARE PSICOLOGIA LTDA;ADRIANA LOPES;130;RUA LAURO NUNES DE OLIVEIRA;SANTA DOROTÉIA;POUSO ALEGRE;MG;Pouso Alegre;PSICOLOGIA;;
AMORADAR SAUDE ESPECIALIZADA LTDA;;188;RUA PADRE ANCHIETA;CENTRO;BARBACENA;MG;Barbacena;PSIQUIATRIA;;
AMPLIAR NUCLEO DE PSICOLOGIA APLICADA LTDA;AMPLIAR NUCLEO DE PSICOLOGIA APLICADA LTDA;40;RUA JORGE MATTAR;CENTRO;TEOFILO OTONI;MG;Teófilo Otoni;TERAPIA OCUPACIONAL / PSICOLOGIA  / FONOAUDIOLOGIA;35232750;
ANA CAROLINA DEMARCO ROLDAN;NIP NUCLEO DE INTERVENCAO PRECOCE;621;RUA SANTOS DUMONT;CENTRO;PELOTAS;RS;CRS 03 Pelotas;PSICOLOGIA  / TERAPIA OCUPACIONAL / FONOAUDIOLOGIA  / FISIOTERAPIA;32214716;
ANA CAROLINE RAMIRES RAMOS EIRELI;ANA CAROLINE RAMIRES RAMOS EIRELI;15;AVENIDA JOÃO CERNACH;JARDIM NOSSA SENHORA DE FÁTIMA;BIRIGUI;SP;Araçatuba;OFTALMOLOGIA;36442005;
ANA CLARA LIMA PORTELA SILVA;ESPACO DESENVOLVER CLINICA MULTIPROFISSIONAL;599;RUA AGAPITO DOS SANTOS;CENTRO;ARACATI;CE;Aracati;FONOAUDIOLOGIA  / TERAPIA OCUPACIONAL / NUTRICAO / ASSISTENCIA A PESSOAS PORTADORAS DE DEFICIENCIAS  / MÉDICO GENERALISTA / PSICOLOGIA;;
ANA CRISTINA DE CARVALHO PAIVA;;478;RUA TEIXEIRA DE FREITAS;SANTO ANTÔNIO;BELO HORIZONTE;MG;Belo Horizonte;PSICOLOGIA;;
ANA LIVIA TIAGO MURAD;ANA LIVIA TIAGO MURAD;59;RUA JOAQUIM PEIXOTO RAMOS;CENTRO;CATAGUASES;MG;Leopoldina;GINECOLOGIA E OBSTETRICIA;34218528;
ANA LUIZA FELIPE ROCHA;EVOLUIR CONSULTORIO TERAPEUTICO;205;PREFEITO RAIMUNDO ROCHA;CENTRO;ACARAU;CE;Acaraú;TERAPIA OCUPACIONAL / PSICOLOGIA  / FONOAUDIOLOGIA  / FISIOTERAPIA;;
ANA LUIZA TRINDADE;;301;RUA GOMES JARDIM;SANTANA;PORTO ALEGRE;RS;CRS 01 Porto Alegre;MEDICINA FISICA E REABILITACAO;25007200;
ANA PAULA MORAES DE OLIVEIRA;ANA PAULA MORAES DE OLIVEIRA;717;AVENIDA MONSENHOR SCALABRINI;CENTRO;GUAPORE;RS;CRS 05 Caxias do Sul;PSICOLOGIA;;
ANATOCENTER DIAGNOSTICO MEDICOS LTDA;ANATOCENTER DIAGNOSTICOS;2355;RUA JOSÉ BONIFÁCIO;CENTRO;SANTA MARIA;RS;CRS 04 Santa Maria;PATOLOGIA CLINICA / MEDICINA LABORATORIAL / PATOLOGIA;33478997;
ANDERSON FERNANDES NEUROPSICOLOGIA E SAUDE MENTAL LTDA;ANDERSON FERNANDES NEUROPSICOLOGIA E SAUDE MENTAL;24;RUA REPÚBLICA DO PERU;NOVA BETÂNIA;MOSSORO;RN;II ETAM;PSICOLOGIA;30872200;
ANDRADE MIRA SERVICOS MEDICOS LTDA;ANDRADE MIRA SERVICOS MEDICOS LTDA;1549;RUA GENERAL CARNEIRO;CENTRO;FRANCA;SP;Franca;ORTOPEDIA E TRAUMATOLOGIA  / GINECOLOGIA E OBSTETRICIA;;
ANDRE SILVA NOBREGA;ANDRE SILVA NOBREGA;5753;SANTOS DUMONT;PAPICU;FORTALEZA;CE;Fortaleza;GINECOLOGIA E OBSTETRICIA;;
ANDREA KOTZIAN PEREIRA;;55;RUA TENENTE-CORONEL FABRÍCIO PILAR;MONT SERRAT;PORTO ALEGRE;RS;CRS 01 Porto Alegre;PSICOLOGIA;;
ANDREIA LIMA DINIZ LTDA;ANDRÉIA LIMA DINIZ LTDA;939;RUA CORONEL CORNÉLIO SOARES;NOSSA SENHORA DA PENHA;SERRA TALHADA;PE;Serra Talhada;ACUPUNTURA;;
ANGELINA S ARAUJO ROCHA FONOAUDIOLOGIA;CLINICA AVANCE;435;TANCREDO NEVES;SAO JOAO;CRUZ;CE;Acaraú;NUTRICAO / FONOAUDIOLOGIA  / PSICOLOGIA  / ASSISTENCIA A PESSOAS PORTADORAS DE DEFICIENCIAS  / TERAPIA OCUPACIONAL;;
ANGELITA BRITES BECKER;;179;TRAV. AFONSO HOSTIN;SEIS DE MAIO;PALMEIRA DAS MISSOES;RS;CRS 15 Palmeira das Missões;PSICOLOGIA;;
ANGIOPED LTDA ME;ANGIOPED;100;RUA PEDRO VELHO;SANTO ANTÔNIO;MOSSORO;RN;II ETAM;CIRURGIA VASCULAR / ALERGIA E IMUNOLOGIA  / ANGIOLOGIA / PNEUMOLOGIA;33168012;
ANNA ANDREA DE GODOY PARE MENDES LTDA;INSTITUTO DE SAUDE VASCULAR ISV;364;AVENIDA FREI PAULINO;NOSSA SENHORA DA ABADIA;UBERABA;MG;Uberaba;CIRURGIA VASCULAR / CIRURGIA GERAL;;
ANNA JULIA RAMOS FONTANARI;ANNA JULIA R FONTANARI MEDICA PIRACICABA;109;PROFESSOR LUIZ CURIACOS;CIDADE JARDIM;PIRACICABA;SP;Piracicaba;ENDOCRINOLOGIA E METABOLOGIA;;
ANNY KAROLAINY SILVA DE LIMA;;;;;;;;FISIOTERAPIA;;
ANTONIO VICENTE AITA HAHN;CONSULTORIO MEDICO ANTONIO VICENTE AITA HAHN;1124;RUA MARECHAL FLORIANO PEIXOTO;CENTRO;SANTA MARIA;RS;CRS 04 Santa Maria;CARDIOLOGIA;32225801;
APRENDER PSICOLOGIA LTDA;INSTITUTO APRENDER;23;QUADRA ARSE 21 AVENIDA NS 2;PLANO DIRETOR SUL;PALMAS;TO;Região de Saúde do Capim Dourado;TERAPIA OCUPACIONAL / FONOAUDIOLOGIA  / PSICOLOGIA;;
AQUARELA MD LTDA;INSTITUTO NINAR;1080;R TAPUIAS;SETOR AEROPORTO;CRISTALINA;GO;Entorno Sul;PSICOLOGIA  / ASSISTENCIA A PESSOAS PORTADORAS DE DEFICIENCIAS  / TERAPIA OCUPACIONAL / FISIOTERAPIA / FONOAUDIOLOGIA;32323232;
ARACELI DOS SANTOS BRITO;ARACELI DOS SANTOS BRITO;1947;RUA MARECHAL DEODORO;CENTRO;PORTO VELHO;RO;Departamento de Epidemiologia;REUMATOLOGIA;;
ARAKI SANTOS OFTALMOLOGIA EIRELI;CLINICA DE OLHOS CINTHIA ARAKI;1690;AVENIDA DOUTOR LUIZ TEIXEIRA MENDES;ZONA 05;MARINGA;PR;Maringá;OFTALMOLOGIA;;
ARAUJO E GONCALVES LTDA;EXAMED DIAGNOSTICO POR IMAGEM;1805;NUMERIANO BEZERRA DE CASTRO;SETOR BELA VISTA 1;PEDRO AFONSO;TO;Região de Saúde Cultura do Cerrado;CLÍNICA MÉDICA / RADIOLOGIA E DIAGNÓSTICO POR IMAGEM;34661818;
ARAUJO SILVA CLINICA DE SERVICOS MEDICOS;MOMENTO MULHER;1325;RUA JOSÉ GOMES DOMINGUES;SANTA FÉ;CAMPO GRANDE;MS;NCT de Campo Grande;GINECOLOGIA E OBSTETRICIA  / RADIOLOGIA E DIAGNÓSTICO POR IMAGEM;33263796;
ARISTIDES CAVALCANTE SAUDE E ESTETICA LTDA;ARISTIDES CAVALCANTE SAUDE E ESTETICA LTDA;123;RUA PROFESSORA NADYR MAIA GOMES RÊGO;JATIÚCA;MACEIO;AL;Região 01;FONOAUDIOLOGIA  / PSICOLOGIA  / FISIOTERAPIA / TERAPIA OCUPACIONAL / CLÍNICA MÉDICA;;
ARISTOTELINA S. DE A. NETO LTDA;HEALTH INTEGRADA;14;RUA COPENHAGEM;PLANALTO;MANAUS;AM;Entorno de Manaus;FISIOTERAPIA / ASSISTENCIA A PESSOAS PORTADORAS DE DEFICIENCIAS  / FONOAUDIOLOGIA  / PSICOLOGIA;;
ARTRO CLINICA DE CIRURGIA ORTOPEDICA LTDA;ARTRO CLINICA ORTOPEDICA;2411;AVENIDA VICENTE MACHADO;CAMPINA DO SIQUEIRA;CURITIBA;PR;Metropolitana;ORTOPEDIA E TRAUMATOLOGIA;33405500;
ASA SERVICOS MEDICOS LTDA - ME;ASA SERVICOS MEDICOS;1333;RUA LUÍS DOMINGUES;CENTRO;IMPERATRIZ;MA;Tocantins;GERIATRIA;;
ASSIS CESAR SERVICOS MULTIDISCIPLINARES;HOPE ABA CIENCIA COMPORTAMENTAL;650;RUA ALBERTO MAXWEL;VILA ALBA;DOURADOS;MS;NCT de Dourados;FISIOTERAPIA / PSICOLOGIA  / TERAPIA OCUPACIONAL / FONOAUDIOLOGIA;;
ASSISTENCIA DERMATOLOGICA DRA CANDIDA ELENA DE REGINA E REGINA LTDA;ASSISTENCIA DERMATOLOGICA DRA CANDIDA ELENA DE REG;55;RUA GILDÁSIO AMADO;BARRA DA TIJUCA;RIO DE JANEIRO;RJ;Metropolitana I;DERMATOLOGIA   / PEDIATRIA;;
ASSISTENCIA DERMATOLOGICA DRA CANDIDA ELENA DE REGINA E REGINA LTDA;ASSISTENCIA DERMATOLOGICA DRA CANDIDA ELENA DE REG;550;RUA VISCONDE DE PIRAJÁ, 550;IPANEMA;RIO DE JANEIRO;RJ;Metropolitana I;DERMATOLOGIA   / PEDIATRIA;;
ASSO. QUIXADAENSE DE PROTECAO E ASS. A MATERNIDADE A INFANCIA E A ADOL;HOSPITAL E MATERNIDADE JESUS MARIA JOSE;2268;RUA FRANCISCO ALMEIDA PINHEIRO;PLANALTO UNIVERSITÁRIO;QUIXADA;CE;Quixadá;ANESTESIOLOGIA  / PEDIATRIA  / OFTALMOLOGIA  / GASTROENTEROLOGIA  / FISIOTERAPIA / MEDICINA FISICA E REABILITACAO  / RADIOLOGIA E DIAGNÓSTICO POR IMAGEM / PATOLOGIA CLINICA / MEDICINA LABORATORIAL / CLÍNICA MÉDICA / CARDIOLOGIA  / CIRURGIA GERAL  / GINECOLOGIA E OBSTETRICIA;34120681;
ASSOCIACAO CONGREGACAO DE SANTA CATARINA;HOSPITAL SANTA ISABEL;300;MARECHAL FLORIANO PEIXOTO;CENTRO;BLUMENAU;SC;Blumenau;NEUROCIRURGIA  / CIRURGIA VASCULAR / NEUROLOGIA  / MEDICINA NUCLEAR  / GASTROENTEROLOGIA  / OTORRINOLARINGOLOGIA  / INFECTOLOGIA  / CIRURGIA PEDIATRICA  / CIRURGIA DE CABEÇA E PESCOÇO / RADIOTERAPIA  / OFTALMOLOGIA  / ENDOCRINOLOGIA E METABOLOGIA / CIRURGIA TORACICA  / CIRURGIA GERAL  / CIRURGIA E TRAUMATOLOGIA BUCO-MAXILO-FACIAIS / UROLOGIA  / PNEUMOLOGIA  / DERMATOLOGIA   / GINECOLOGIA E OBSTETRICIA  / CIRURGIA CARDIOVASCULAR  / CLÍNICA MÉDICA / PEDIATRIA  / CIRURGIA PLÁSTICA / MASTOLOGIA  / NEFROLOGIA  / PSIQUIATRIA  / ANESTESIOLOGIA  / HEMATOLOGIA E HEMOTERAPIA / REUMATOLOGIA  / ORTOPEDIA E TRAUMATOLOGIA  / ANGIOLOGIA / COLOPROCTOLOGIA / GERIATRIA   / FISIOTERAPIA / MEDICINA FISICA E REABILITACAO  / ONCOLOGIA CLÍNICA / NUTRICAO / RADIOLOGIA E DIAGNÓSTICO POR IMAGEM / CIRURGIA ONCOLÓGICA / MEDICINA INTENSIVA / CIRURGIA DO APARELHO DIGESTIVO / CARDIOLOGIA  / PATOLOGIA CLINICA / MEDICINA LABORATORIAL;33211000;
